Country,geo,Year,GDE Euro,FTE All,FTE Researcher,FTE Researcher Fem,geo_nan,SpendEff,LaborInt,FemShare,Res CAGR 2009_2021,Fem Res CAGR 2009_2021,SpendEff CAGR 2009_2021,FemShare CAGR 2009_2021
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2005-01-01,,,,,in,,,,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,245.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,267.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,492.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,587.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,670.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,1052.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2006-01-01,17.9,1052.0,587.0,1220.0,in,0.030494037478705285,32.79329608938547,1.1031881236310537,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,212.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,260.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,467.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,570.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,711.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,961.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2007-01-01,28.149,961.0,570.0,1198.0,in,0.049384210526315794,20.24938718959821,1.0974937343358395,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,290.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,334.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,676.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,770.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,922.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,1508.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2008-01-01,30.214,1508.0,770.0,1800.0,in,0.03923896103896104,25.484874561461574,1.1688311688311688,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2009-01-01,40.461,1734.0,1016.0,440.0,in,0.0398238188976378,25.11060033118311,1.0854893138357706,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2009-01-01,40.461,1734.0,1016.0,491.0,in,0.0398238188976378,25.11060033118311,1.0854893138357706,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2009-01-01,40.461,1734.0,1016.0,855.0,in,0.0398238188976378,25.11060033118311,1.0854893138357706,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
Bulgaria,BG,2009-01-01,40.461,1734.0,1016.0,1016.0,in,0.0398238188976378,25.11060033118311,1.0854893138357706,0.13705884540090585,0.2645191349056939,0.015472485526782043,-0.00674475432839694
