dataset_id,dataset_source,dataset_title,dataset_last_updated
htec_sti_exp2,Eurostat,Business enterprise R&D expenditure in high-tech sectors by NACE Rev. 2,18/03/2026 23:00
htec_sti_pers2,Eurostat,Business enterprise R&D personnel in high-tech sectors by NACE Rev. 2,18/03/2026 23:00
rd_​p_​bempoccr2,Eurostat,R&D personnel and researchers in business enterprise sector by NACE Rev. 2 activity and sex,14/01/2026 23:00
