nace_r2,geo,time,pers2_FTE_RSE,pers2_FTE_TOTAL,pers2_HC_RSE,pers2_HC_TOTAL,exp2_MIO_EUR,exp2_PC_TOT,fem2_FTE_RSE
C,AL,2005,,,,,,,
C,AL,2006,,,,,,,
C,AL,2007,,,,,,,
C,AL,2008,,,,,,,
C,AL,2009,,,,,,,
C,AL,2010,,,,,,,
C,AL,2011,,,,,,,
C,AL,2012,,,,,,,
C,AL,2013,,,,,,,
C,AL,2014,,,,,,,
C,AL,2015,,,,,,,
C,AL,2016,,,,,,,
C,AL,2017,,,,,,,
C,AL,2018,,,,,,,
C,AL,2019,,,,,,,
C,AL,2020,,,,,,,
C,AL,2021,,,,,,,
C,AL,2022,,,,,,,
C,AL,2023,,,,,,,
C,AT,2005,,,,,,,
C,AT,2006,12478.7,23779.9,14260.0,29364.0,3159.933,71.03,
C,AT,2007,13482.1,25737.3,15452.0,31609.0,3382.932,69.81,
C,AT,2008,,,,,,,
C,AT,2009,13677.8,25408.5,,,3435.405,67.45,
C,AT,2010,,,,,,,
C,AT,2011,13683.3,26568.7,15752.0,33698.0,3625.797,63.69,
C,AT,2012,,,,,,,
C,AT,2013,14263.1,28299.3,16702.0,36558.0,4205.638,62.04,
C,AT,2014,,,,,,,
C,AT,2015,15211.4,30664.3,18183.0,39731.0,4616.983,61.57,
C,AT,2016,,,,,,,
C,AT,2017,16894.9,32881.5,20339.0,42581.0,5163.271,65.45,
C,AT,2018,,,,,,,
C,AT,2019,18858.5,36856.7,22913.0,47170.0,5794.025,66.22,
C,AT,2020,,,,,,,
C,AT,2021,22919.9,41934.4,27270.0,53359.0,6551.102,71.93,
C,AT,2022,,,,,,,
C,AT,2023,,,,,,,
C,BA,2005,,,,,,,
C,BA,2006,,,,,,,
C,BA,2007,,,,,,,
C,BA,2008,,,,,,,
C,BA,2009,,,,,,,
C,BA,2010,,,,,,,
C,BA,2011,,,,,,,
C,BA,2012,,,,,,,
C,BA,2013,,,,,3.199,12.45,
C,BA,2014,,,,,,,
C,BA,2015,,,,,,,
C,BA,2016,,,,,,,
C,BA,2017,,,,,,,
C,BA,2018,,,,,,,
C,BA,2019,63.5,113.5,64.0,114.0,6.063,46.19,
C,BA,2020,60.0,113.0,60.0,113.0,6.716,48.19,
C,BA,2021,62.0,113.0,62.0,113.0,5.061,35.51,
C,BA,2022,,,,,,,
C,BA,2023,,,,,,,
C,BE,2005,,,,,,,
C,BE,2006,,,,,,,
C,BE,2007,,,,,,,
C,BE,2008,9869.6,19582.5,11620.0,23122.0,3008.924,64.71,
C,BE,2009,9993.0,19413.5,11598.0,23193.0,2955.519,64.6,
C,BE,2010,10888.7,18629.8,13157.0,22336.0,3015.891,59.99,
C,BE,2011,11439.0,19784.6,13526.0,23518.0,3532.277,62.93,
C,BE,2012,,19312.7,,,3673.943,59.75,
C,BE,2013,11384.9,19803.7,13320.0,24052.0,3759.407,59.14,
C,BE,2014,,20343.9,,,3685.345,55.2,
C,BE,2015,12684.7,20730.3,15399.0,26115.0,3865.434,54.62,
C,BE,2016,,,,,,,
C,BE,2017,,,,,,,
C,BE,2018,,23570.6,,,5138.268,54.47,
C,BE,2019,13711.4,22482.5,18163.0,30933.0,5683.682,51.0,
C,BE,2020,,24629.9,,,5910.159,51.22,
C,BE,2021,16475.8,27832.4,21477.0,37545.0,5640.527,43.82,
C,BE,2022,,,,,,,
C,BE,2023,,,,,,,
C,BG,2005,,,,,,,
C,BG,2006,669.0,1348.0,776.0,1667.0,12.801,41.45,
C,BG,2007,,1384.0,,1769.0,14.806,34.04,
C,BG,2008,689.0,,,1510.0,21.265,41.13,
C,BG,2009,,,,,12.804,23.15,
C,BG,2010,,,,,,,
C,BG,2011,540.0,,634.0,,13.783,11.79,
C,BG,2012,753.0,1097.0,874.0,1346.0,24.284,15.82,
C,BG,2013,801.0,1252.0,923.0,1515.0,,,
C,BG,2014,877.0,1584.0,990.0,,,,
C,BG,2015,,,2325.0,,,,
C,BG,2016,,4487.0,,5283.0,95.055,34.56,
C,BG,2017,,,,,,,
C,BG,2018,,,,,,,
C,BG,2019,,5013.0,,6189.0,91.887,26.7,
C,BG,2020,2546.0,4923.0,2974.0,6231.0,94.604,26.77,
C,BG,2021,2373.0,4405.0,2777.0,5721.0,91.494,25.3,
C,BG,2022,,,,,112.336,25.6,
C,BG,2023,2291.0,4071.0,2668.0,5299.0,,,
C,CH,2005,,,,,,,
C,CH,2006,,,,,,,
C,CH,2007,,,,,,,
C,CH,2008,5957.7,28685.5,6212.0,31834.0,5635.631,74.67,
C,CH,2009,,,,,,,
C,CH,2010,,,,,,,
C,CH,2011,,,,,,,
C,CH,2012,10023.0,33396.0,10668.0,35538.0,7293.68,68.58,
C,CH,2013,,,,,,,
C,CH,2014,,,,,,,
C,CH,2015,14388.0,32706.0,15283.0,36160.0,8647.136,66.14,
C,CH,2016,,,,,,,
C,CH,2017,12793.0,31397.0,13693.0,34325.0,8970.7,70.63,
C,CH,2018,,,,,,,
C,CH,2019,14035.0,33689.0,14990.0,37118.0,9394.843,67.46,
C,CH,2020,,,,,,,
C,CH,2021,16028.0,34796.0,17088.0,38363.0,10593.278,68.27,
C,CH,2022,,,,,,,
C,CH,2023,15391.0,36053.0,16841.0,40867.0,11491.872,62.19,
C,CN_X_HK,2005,,,,,,,
C,CN_X_HK,2006,,,,,,,
C,CN_X_HK,2007,,,,,,,
C,CN_X_HK,2008,879094.0,1136392.0,,,28652.61,86.62,
C,CN_X_HK,2009,570294.0,1355658.0,,,37483.124,84.06,
C,CN_X_HK,2010,602390.0,1583398.0,,,49616.07,85.84,
C,CN_X_HK,2011,651529.0,1824428.0,,,63309.321,86.56,
C,CN_X_HK,2012,704863.0,2131538.0,,,84460.569,87.29,
C,CN_X_HK,2013,752481.2,2368204.7,,,97374.381,87.6,
C,CN_X_HK,2014,765412.2,2517347.1,,,108490.791,88.27,
C,CN_X_HK,2015,837591.0,2528917.0,,,138384.879,88.68,
C,CN_X_HK,2016,864965.0,2592367.0,,,143906.047,87.12,
C,CN_X_HK,2017,844714.0,2629970.0,,,152374.606,85.1,
C,CN_X_HK,2018,899708.0,2888638.0,,,160064.365,82.04,
C,CN_X_HK,2019,930864.0,3044918.0,,,175017.244,80.01,
C,CN_X_HK,2020,,3349924.0,,,187738.039,79.17,
C,CN_X_HK,2021,,,,,221735.029,78.66,
C,CN_X_HK,2022,,,,,263033.094,77.98,
C,CN_X_HK,2023,,,,,,,
C,CY,2005,,,,,,,
C,CY,2006,,,,,,,
C,CY,2007,,,,,,,
C,CY,2008,74.7,110.5,120.0,204.0,5.878,35.13,
C,CY,2009,63.6,92.9,110.0,174.0,4.963,30.2,
C,CY,2010,66.7,95.9,121.0,181.0,5.06,34.2,
C,CY,2011,58.8,86.1,112.0,165.0,4.174,30.32,
C,CY,2012,62.6,90.0,109.0,162.0,4.153,29.75,
C,CY,2013,60.3,95.1,96.0,151.0,4.535,26.68,
C,CY,2014,55.3,87.1,81.0,128.0,5.311,26.54,
C,CY,2015,63.9,101.4,83.0,137.0,7.257,37.26,
C,CY,2016,88.1,134.9,110.0,179.0,10.553,28.85,
C,CY,2017,103.5,167.6,130.0,226.0,11.564,28.24,
C,CY,2018,164.8,276.7,227.0,407.0,19.655,36.46,
C,CY,2019,175.2,285.8,238.0,414.0,22.172,31.38,
C,CY,2020,173.7,293.1,237.0,415.0,25.964,31.71,
C,CY,2021,173.1,293.3,236.0,414.0,23.469,27.89,
C,CY,2022,,,,,,,
C,CY,2023,181.6,302.8,243.0,422.0,25.867,28.87,
C,CZ,2005,5080.4,11892.3,5542.0,14369.0,444.896,59.72,
C,CZ,2006,5646.3,13195.1,6294.0,16337.0,542.282,60.57,
C,CZ,2007,6169.9,13478.0,6880.0,16962.0,568.308,54.73,
C,CZ,2008,6584.2,13864.8,7285.0,17280.0,624.512,54.23,
C,CZ,2009,6453.2,13410.7,7209.0,17700.0,564.232,53.03,
C,CZ,2010,6527.4,14057.3,7423.0,18846.0,624.679,52.62,
C,CZ,2011,7234.4,14944.6,8121.0,19603.0,728.138,52.43,
C,CZ,2012,7960.1,16138.9,9015.0,21361.0,776.401,51.08,
C,CZ,2013,7991.5,16872.3,8926.0,22358.0,849.329,53.15,
C,CZ,2014,8357.4,17528.7,9739.0,24034.0,881.165,51.65,
C,CZ,2015,8727.1,17726.9,10065.0,24327.0,926.616,52.5,
C,CZ,2016,8291.5,18169.5,9484.0,25140.0,969.27,53.5,
C,CZ,2017,9000.7,19668.4,10443.0,27942.0,1159.276,53.72,
C,CZ,2018,9757.8,20890.3,11218.0,29589.0,1354.952,54.59,
C,CZ,2019,9941.8,21121.6,11565.0,29130.0,1439.871,53.72,
C,CZ,2020,10456.0,21961.3,11924.0,29329.0,1321.632,50.59,
C,CZ,2021,10861.9,22483.1,12299.0,29355.0,1500.522,50.26,
C,CZ,2022,11185.8,22899.7,12821.0,29936.0,1744.44,50.06,
C,CZ,2023,11592.1,23511.1,13234.0,30583.0,1872.636,49.72,
C,DE,2005,,,,,,,
C,DE,2006,,,,,,,
C,DE,2007,146647.0,277535.0,162882.0,310389.0,37934.3,88.15,
C,DE,2008,,289343.0,,,40777.5,88.51,
C,DE,2009,146423.0,274747.0,164673.0,310340.0,38711.4,85.5,
C,DE,2010,,279422.0,,,40240.7,85.75,
C,DE,2011,155911.0,293448.0,172415.0,330449.0,43733.4,85.62,
C,DE,2012,164572.0,304442.0,,,46333.3,86.14,
C,DE,2013,166738.0,298838.0,181983.0,332591.0,46048.7,85.97,
C,DE,2014,166970.0,310533.0,,,49482.4,86.82,
C,DE,2015,185226.0,,200378.0,356782.0,51912.6,85.17,
C,DE,2016,189524.0,332280.0,,,53359.1,84.93,
C,DE,2017,201211.1,346442.7,219666.0,384654.0,58493.5,85.04,
C,DE,2018,208280.0,358207.0,,,61574.4,85.4,
C,DE,2019,219150.0,375006.0,240820.0,416802.0,64361.0,84.87,
C,DE,2020,,365777.0,,,59314.0,83.5,
C,DE,2021,,371412.0,,416559.0,62638.088,82.68,
C,DE,2022,,,,,,,
C,DE,2023,227025.0,396113.0,252550.0,445742.0,69763.675,77.17,
C,DK,2005,,,,,,,
C,DK,2006,,,,,,,
C,DK,2007,,,,,,,
C,DK,2008,,,,,,,
C,DK,2009,10268.2,16844.0,,,2433.053,49.35,
C,DK,2010,10719.3,17283.5,11879.0,20652.0,2488.298,52.33,
C,DK,2011,11362.9,17860.5,10935.0,18965.0,2529.783,51.94,
C,DK,2012,12741.0,18698.1,13892.0,21442.0,2799.038,56.24,
C,DK,2013,12854.4,,12859.0,,2830.515,58.14,
C,DK,2014,12935.0,18979.0,14116.0,21796.0,2864.329,58.0,
C,DK,2015,12783.0,18950.0,13933.0,21902.0,2984.702,56.38,
C,DK,2016,13145.0,19270.0,14549.0,22525.0,3007.978,52.8,
C,DK,2017,13653.0,18966.0,15130.0,22209.0,3077.461,56.17,
C,DK,2018,,,,,,,
C,DK,2019,11202.0,18249.0,12747.0,21517.0,2832.402,49.71,
C,DK,2020,,,,,3206.112,56.24,
C,DK,2021,,,,,,,
C,DK,2022,,,,,,,
C,DK,2023,16005.3,24351.1,17781.0,28381.0,4303.851,60.28,
C,EA19,2005,,,,,,,
C,EA19,2006,,,,,,,
C,EA19,2007,,,,,,71.9,
C,EA19,2008,,,,,,71.97,
C,EA19,2009,,,,,,,
C,EA19,2010,,,,,81187.126,68.76,
C,EA19,2011,,,,,,,
C,EA19,2012,357080.3,676363.3,,,90424.034,68.66,
C,EA19,2013,361484.7,676361.2,422598.0,840365.0,91294.881,,
C,EA19,2014,,,,,,,
C,EA19,2015,388534.4,712517.4,453217.0,884183.0,98379.633,,
C,EA19,2016,,,,,,,
C,EA19,2017,,,,,,,
C,EA19,2018,,,,,,67.27,
C,EA19,2019,,,,,,66.35,
C,EA19,2020,,825875.3,,,,64.76,
C,EA19,2021,,,,,,,
C,EA19,2022,,,,,,,
C,EA19,2023,,,,,,,
C,EA20,2005,,,,,,,
C,EA20,2006,,,,,,,
C,EA20,2007,,,,,,71.84,
C,EA20,2008,,,,,,71.93,
C,EA20,2009,,,,,,,
C,EA20,2010,,,,,81242.755,68.73,
C,EA20,2011,,,,,,,
C,EA20,2012,357631.7,677469.7,,,90490.121,68.63,
C,EA20,2013,361963.2,677443.0,423100.0,841597.0,91381.878,,
C,EA20,2014,,,,,,,
C,EA20,2015,389170.3,714388.1,453899.0,886235.0,98517.615,,
C,EA20,2016,,,,,,,
C,EA20,2017,,,,,,,
C,EA20,2018,,,,,,67.26,
C,EA20,2019,,,,,,66.35,
C,EA20,2020,,829310.2,,,,64.76,
C,EA20,2021,,,,,,,
C,EA20,2022,,,,,,,
C,EA20,2023,,,,,,,
C,EE,2005,,,,,,,
C,EE,2006,,,,,,,
C,EE,2007,,,,,,,
C,EE,2008,315.1,459.9,466.0,725.0,20.381,22.68,
C,EE,2009,293.4,429.9,440.0,663.0,18.114,20.54,
C,EE,2010,,,,,,,
C,EE,2011,329.2,445.3,521.0,717.0,154.905,63.79,
C,EE,2012,270.6,,,,,,
C,EE,2013,,407.0,387.0,602.0,,,
C,EE,2014,244.6,370.0,368.0,567.0,26.889,21.54,
C,EE,2015,273.1,424.6,432.0,652.0,37.6,26.96,
C,EE,2016,307.1,449.8,434.0,628.0,34.31,24.65,
C,EE,2017,308.5,467.4,632.0,863.0,,,
C,EE,2018,,,,,,,
C,EE,2019,,635.7,,,,,
C,EE,2020,537.6,785.2,859.0,1334.0,,,
C,EE,2021,,,,,,,
C,EE,2022,,,,,,,
C,EE,2023,,,,,,,
C,EL,2005,,,,,,,
C,EL,2006,,,,,,,
C,EL,2007,,,,,,,
C,EL,2008,,,,,,,
C,EL,2009,,,,,,,
C,EL,2010,,,,,,,
C,EL,2011,1808.5,2861.0,2418.0,4030.0,190.585,39.23,
C,EL,2012,,,,,,,
C,EL,2013,1367.4,2008.8,1970.0,3012.0,175.84,35.98,
C,EL,2014,,,,,,,
C,EL,2015,1300.5,2020.1,1671.0,2682.0,149.72,26.66,
C,EL,2016,,,,,,,
C,EL,2017,2577.5,3513.0,4297.0,6038.0,293.7,29.55,
C,EL,2018,,,,,,,
C,EL,2019,2806.4,4077.6,3909.0,5995.0,335.58,31.13,
C,EL,2020,3165.0,4431.9,4667.0,6798.0,384.53,33.44,
C,EL,2021,3209.5,4431.7,4708.0,6869.0,425.509,34.17,
C,EL,2022,3935.1,5279.2,6244.0,8848.0,542.896,36.06,
C,EL,2023,4404.0,5950.8,6990.0,10253.0,540.605,32.61,
C,ES,2005,,,,,,,
C,ES,2006,,,,,,,
C,ES,2007,,,,,,,
C,ES,2008,17464.1,38822.3,22609.0,55535.0,3433.692,42.53,
C,ES,2009,16920.6,38410.2,22115.0,56502.0,3327.873,43.98,
C,ES,2010,16599.8,37444.9,21612.0,55666.0,3346.165,44.58,
C,ES,2011,16210.2,36491.0,21317.0,55060.0,3420.465,46.25,
C,ES,2012,15883.8,36320.4,20891.0,53786.0,3204.879,45.18,
C,ES,2013,15850.8,35793.8,20857.0,53568.0,3101.164,44.9,
C,ES,2014,15712.6,35761.5,20439.0,54258.0,3095.862,45.63,
C,ES,2015,16543.9,35538.0,21410.0,52811.0,3145.0,45.45,
C,ES,2016,17343.1,36974.7,22274.0,54342.0,3305.0,46.38,
C,ES,2017,18317.4,39354.7,23579.0,57135.0,3563.0,46.1,
C,ES,2018,19547.7,41612.9,25508.0,63034.0,3830.0,45.35,
C,ES,2019,19225.7,40867.1,25371.0,60408.0,3893.0,44.54,
C,ES,2020,,,,,,,
C,ES,2021,20255.0,42649.0,26528.0,61258.0,4288.202,44.23,
C,ES,2022,20086.0,44151.0,26506.0,64117.0,4808.618,44.11,
C,ES,2023,21428.0,46017.0,27636.0,64570.0,5444.736,43.16,
C,EU27_2020,2005,,,,,,,
C,EU27_2020,2006,,,,,,,
C,EU27_2020,2007,,,,,,70.63,
C,EU27_2020,2008,,,,,,70.78,
C,EU27_2020,2009,,,,,,,
C,EU27_2020,2010,,723537.1,,,91184.889,68.04,
C,EU27_2020,2011,,,,,,,
C,EU27_2020,2012,,,,,102002.214,67.87,
C,EU27_2020,2013,,,,,,,
C,EU27_2020,2014,,,,,,,
C,EU27_2020,2015,,821845.4,,1014497.0,111072.042,66.41,
C,EU27_2020,2016,,,,,,,
C,EU27_2020,2017,500604.8,902739.5,,,121870.572,65.28,
C,EU27_2020,2018,,,,,127945.715,65.08,
C,EU27_2020,2019,,,,,133200.791,64.07,
C,EU27_2020,2020,,,,,127583.365,62.69,
C,EU27_2020,2021,,,,,,,
C,EU27_2020,2022,,,,,,,
C,EU27_2020,2023,,,,,,,
C,FI,2005,,,,,,,
C,FI,2006,,,,,,,
C,FI,2007,,,,,,,
C,FI,2008,18302.8,23844.0,20097.0,27670.0,4064.47,79.66,
C,FI,2009,17823.9,23126.5,19673.0,26985.0,3880.077,80.05,
C,FI,2010,17283.8,21665.2,19166.0,25336.0,3867.2,79.66,
C,FI,2011,16315.3,20854.0,18144.0,24462.0,3878.081,76.83,
C,FI,2012,15755.8,19915.4,16103.0,22216.0,3387.212,72.15,
C,FI,2013,14212.5,19014.1,15836.0,22158.0,3283.0,71.33,
C,FI,2014,13659.3,18715.6,,,3126.4,70.9,
C,FI,2015,13432.8,18420.6,15223.0,21268.0,2716.1,67.11,
C,FI,2016,11744.0,15730.9,13620.0,18601.0,2507.0,64.25,
C,FI,2017,12357.0,16567.9,14105.0,19396.0,2520.0,62.56,
C,FI,2018,12421.0,16626.4,13855.0,18973.0,2594.8,61.39,
C,FI,2019,13355.9,17226.0,15046.0,19845.0,2655.8,60.25,
C,FI,2020,14280.7,18034.1,16118.0,21221.0,2735.8,58.91,
C,FI,2021,15117.0,19074.0,17685.0,22838.0,2940.253,57.06,
C,FI,2022,16068.0,19457.0,18497.0,23053.0,3275.773,60.7,
C,FI,2023,16456.0,20258.0,19102.0,24118.0,3448.929,60.48,
C,FR,2005,,,,,,,
C,FR,2006,,,,,,,
C,FR,2007,69532.5,,75699.0,,,,
C,FR,2008,70213.3,,79696.0,135622.0,,,
C,FR,2009,66271.8,,77315.0,131450.0,,,
C,FR,2010,65064.7,113133.8,79795.0,140844.0,13824.885,50.36,
C,FR,2011,67646.1,114733.4,83634.0,145855.0,14351.837,49.75,
C,FR,2012,72121.2,119036.4,90077.0,155503.0,15084.9,50.21,
C,FR,2013,76318.1,122720.5,93635.0,157901.0,15590.6,50.97,
C,FR,2014,,,,,,,
C,FR,2015,,,,,,,
C,FR,2016,79419.2,123546.4,97775.0,163436.0,16209.112,50.14,
C,FR,2017,80593.8,124611.9,100369.0,167201.0,16071.089,48.67,
C,FR,2018,,,,,,,
C,FR,2019,,,,,,,
C,FR,2020,81644.0,122417.0,104287.0,166083.0,15654.185,45.21,
C,FR,2021,108721.0,160480.0,133832.0,205385.0,22181.77,60.81,
C,FR,2022,110844.0,161756.0,134854.0,199263.0,23907.556,61.36,
C,FR,2023,115221.0,166393.0,135378.0,197553.0,24949.652,61.41,
C,HR,2005,283.4,738.9,298.0,812.0,53.735,41.71,
C,HR,2006,312.3,789.2,336.0,872.0,43.931,40.23,
C,HR,2007,385.0,905.0,414.0,1001.0,41.814,29.56,
C,HR,2008,554.5,1278.0,605.0,1397.0,89.152,47.3,
C,HR,2009,524.6,1146.6,582.0,1317.0,61.021,39.66,
C,HR,2010,488.2,1052.7,523.0,1166.0,55.629,37.64,
C,HR,2011,441.7,975.5,469.0,1076.0,59.987,39.89,
C,HR,2012,553.8,1112.7,587.0,1220.0,66.087,43.68,
C,HR,2013,478.5,1081.8,502.0,1232.0,86.968,48.94,
C,HR,2014,486.1,1099.8,516.0,1242.0,85.463,52.12,
C,HR,2015,635.9,1870.7,682.0,2052.0,137.983,71.87,
C,HR,2016,877.2,1612.5,972.0,1876.0,119.078,64.11,
C,HR,2017,757.4,1729.4,864.0,1992.0,133.867,65.31,
C,HR,2018,795.3,2635.8,926.0,2960.0,159.378,66.14,
C,HR,2019,1106.8,2996.2,1310.0,3398.0,201.742,68.57,
C,HR,2020,1182.8,3434.9,1389.0,3970.0,202.288,67.43,
C,HR,2021,1031.9,2239.0,1364.0,3377.0,,,
C,HR,2022,977.4,2282.3,1182.0,3123.0,,,
C,HR,2023,952.1,2263.0,1156.0,3214.0,159.377,26.95,
C,HU,2005,3168.0,5018.0,3812.0,6243.0,285.949,79.07,
C,HU,2006,,,,,,,
C,HU,2007,,,,,,,
C,HU,2008,,,,,,,
C,HU,2009,,,,,,,
C,HU,2010,5521.0,8640.0,6356.0,10669.0,437.852,65.01,
C,HU,2011,,,,,,,
C,HU,2012,6798.0,10868.0,7429.0,12452.0,517.507,62.72,
C,HU,2013,6839.0,11440.0,7554.0,13295.0,557.304,56.72,
C,HU,2014,5947.0,9189.0,6560.0,10818.0,526.118,51.48,
C,HU,2015,5303.0,7958.0,5839.0,9097.0,449.796,40.54,
C,HU,2016,5908.0,8839.0,6397.0,9934.0,490.961,48.28,
C,HU,2017,6431.0,10167.0,7018.0,11600.0,573.051,46.85,
C,HU,2018,7670.0,12264.0,8427.0,14153.0,746.504,48.14,
C,HU,2019,8573.0,13794.0,9398.0,15892.0,737.814,45.52,
C,HU,2020,9307.0,14728.0,10192.0,16703.0,919.611,54.77,
C,HU,2021,9961.0,15477.0,11129.0,17937.0,1090.779,57.11,
C,HU,2022,9849.0,15155.0,11023.0,17752.0,850.394,50.32,
C,HU,2023,,,,,,,
C,IE,2005,,,,,,,
C,IE,2006,,,,,,,
C,IE,2007,,,,,,,
C,IE,2008,,,,,,,
C,IE,2009,2455.0,4087.0,2981.0,6088.0,743.305,39.78,
C,IE,2010,2503.3,4167.4,3040.0,6208.0,729.405,39.78,
C,IE,2011,,,,7043.0,,,
C,IE,2012,,,,,,,
C,IE,2013,3243.2,5230.9,3985.0,8058.0,849.939,42.04,
C,IE,2014,,,,,,,
C,IE,2015,3154.0,5573.0,3854.0,8594.0,876.0,39.23,
C,IE,2016,,,,,,,
C,IE,2017,3751.0,6696.0,4699.0,9881.0,1248.383,45.06,
C,IE,2018,,,,,,,
C,IE,2019,4130.0,6530.0,5284.0,9241.0,1267.304,38.92,
C,IE,2020,,,,,,,
C,IE,2021,,7005.0,,,1508.905,38.9,
C,IE,2022,,,,,,,
C,IE,2023,4533.0,8215.0,,,3587.6,51.22,
C,IS,2005,,,,,,,
C,IS,2006,,,,,,,
C,IS,2007,,,,,,,
C,IS,2008,,,,,,,
C,IS,2009,,,,,,,
C,IS,2010,,,,,,,
C,IS,2011,343.6,501.5,423.0,622.0,61.556,44.08,
C,IS,2012,,,,,,,
C,IS,2013,,,,,,,
C,IS,2014,,,,,30.888,19.39,
C,IS,2015,,,,,48.169,21.19,
C,IS,2016,,,,,54.576,21.35,
C,IS,2017,315.0,676.0,393.0,940.0,67.976,23.14,
C,IS,2018,315.0,676.0,393.0,940.0,76.095,26.58,
C,IS,2019,,,,,66.786,18.84,
C,IS,2020,,,,,62.53,19.57,
C,IS,2021,229.0,516.0,314.0,776.0,100.814,23.21,
C,IS,2022,251.0,560.0,337.0,831.0,133.293,25.97,
C,IS,2023,470.0,1022.0,750.0,1563.0,267.353,46.48,
C,IT,2005,,,,,,,
C,IT,2006,,,,,,,
C,IT,2007,21039.7,66076.7,25576.0,91641.0,6576.5,69.56,
C,IT,2008,23830.4,75637.0,28257.0,105146.0,7238.3,71.15,
C,IT,2009,24426.4,75170.3,28944.0,104651.0,7131.2,69.65,
C,IT,2010,25536.6,78729.1,30006.0,108858.0,7578.1,71.63,
C,IT,2011,26343.1,80251.4,30666.0,107656.0,7967.5,73.6,
C,IT,2012,27315.4,84705.2,32109.0,112975.0,8251.5,74.29,
C,IT,2013,27868.5,87851.0,33544.0,120240.0,8279.1,72.12,
C,IT,2014,27472.5,89010.3,32768.0,120761.0,8735.888,70.77,
C,IT,2015,31260.9,93795.9,,,9029.1,70.07,
C,IT,2016,32777.8,110013.7,40058.0,154664.0,9832.762,69.79,
C,IT,2017,36179.9,125175.5,44850.0,181330.0,10152.996,68.42,
C,IT,2018,40382.2,136596.5,50739.0,200956.0,10716.963,67.26,
C,IT,2019,43055.5,136295.3,53410.0,199915.0,10976.879,66.17,
C,IT,2020,42314.7,132942.3,52592.0,194195.0,10563.341,68.3,
C,IT,2021,41358.0,123432.0,50352.0,177486.0,10861.563,69.43,
C,IT,2022,,,,,,,
C,IT,2023,,,,,,,
C,JP,2005,427721.0,539767.0,,,82226.145,88.28,
C,JP,2006,430705.0,548825.0,,,80331.461,88.01,
C,JP,2007,430288.0,549506.0,,,75532.285,88.06,
C,JP,2008,432289.0,547860.0,,,77947.76,87.16,
C,JP,2009,429738.0,539479.0,,,80087.54,87.11,
C,JP,2010,430458.0,538157.0,,,90035.659,87.14,
C,JP,2011,437607.0,535596.0,,,97182.255,87.87,
C,JP,2012,426670.0,518050.0,,,104440.414,87.95,
C,JP,2013,426655.0,516873.0,,,86853.964,88.73,
C,JP,2014,443075.0,537774.0,,,83779.503,86.52,
C,JP,2015,428702.0,522516.0,,,88333.683,86.69,
C,JP,2016,426744.0,515769.0,,,96296.048,86.91,
C,JP,2017,433246.0,528534.0,,,94560.642,86.83,
C,JP,2018,441530.0,538593.0,,,94441.258,86.53,
C,JP,2019,442291.0,542567.0,,,101395.82,87.05,
C,JP,2020,459604.0,560269.0,,,102228.699,89.87,
C,JP,2021,,,,,94013.813,85.84,
C,JP,2022,,,,,92793.813,84.65,
C,JP,2023,,,,,,,
C,KR,2005,113250.2,126452.6,,,12917.951,88.62,
C,KR,2006,128935.5,141918.9,,,15861.26,89.99,
C,KR,2007,135820.6,150388.1,,,16759.866,89.4,
C,KR,2008,149341.6,168807.3,,,14319.505,88.46,
C,KR,2009,147858.1,168897.1,,,13725.821,86.4,
C,KR,2010,162723.0,184052.5,,,18760.263,87.61,
C,KR,2011,180476.5,203761.1,,,21687.459,87.54,
C,KR,2012,197575.6,223987.9,,,26221.368,87.82,
C,KR,2013,200280.8,226960.2,,,28374.512,88.6,
C,KR,2014,216465.3,246734.2,,,31705.112,88.92,
C,KR,2015,223251.8,253324.7,,,36467.16,89.61,
C,KR,2016,225164.7,256384.0,,,37388.953,88.99,
C,KR,2017,241712.5,274725.7,,,43851.263,89.49,
C,KR,2018,255084.3,290180.9,,,47077.672,88.85,
C,KR,2019,266460.2,301667.9,,,47923.099,87.48,
C,KR,2020,271020.0,306608.3,,,47426.629,86.71,
C,KR,2021,,,,,51368.507,86.08,
C,KR,2022,,,,,,,
C,KR,2023,,,,,,,
C,LT,2005,,,,,,,
C,LT,2006,,,,,,,
C,LT,2007,,,,,,,
C,LT,2008,507.0,822.0,588.0,948.0,25.255,41.25,
C,LT,2009,470.0,748.0,603.0,969.0,28.672,52.6,
C,LT,2010,526.0,874.0,735.0,1230.0,20.563,31.85,
C,LT,2011,563.0,806.0,764.0,1131.0,22.967,30.99,
C,LT,2012,560.0,734.0,801.0,1070.0,26.794,33.35,
C,LT,2013,604.0,785.0,881.0,1139.0,31.369,37.07,
C,LT,2014,843.0,1129.0,,,49.928,42.92,
C,LT,2015,674.0,899.0,1024.0,1442.0,37.502,35.13,
C,LT,2016,677.0,890.0,1020.0,1379.0,37.752,32.95,
C,LT,2017,,,,,,,
C,LT,2018,951.0,1445.0,1365.0,2168.0,68.799,38.58,
C,LT,2019,935.0,1589.0,1430.0,2427.0,69.968,33.29,
C,LT,2020,919.0,1708.0,1366.0,2632.0,69.671,26.25,
C,LT,2021,1110.3,,1538.0,,,,
C,LT,2022,1108.9,1905.3,1461.0,2661.0,128.211,36.18,
C,LT,2023,1039.0,1800.3,1390.0,2498.0,117.984,36.61,
C,LU,2005,,,,,,,
C,LU,2006,,,,,,,
C,LU,2007,,,,,,,
